lam=((4, 2), (3, 2, 1), (3, 2, 1)) dir=1 g=3 n1=126 rho low/high=126/126 curves: {'low1': 0, 'low2': 0} | no curve
lam=((4, 2), (3, 2, 1), (3, 2, 1)) dir=2 g=3 n1=64 rho low/high=64/64 curves: {'low1': 0, 'low2': 0} | no curve
lam=((4, 2), (3, 2, 1), (3, 2, 1)) dir=3 g=3 n1=64 rho low/high=64/64 curves: {'low1': 0, 'low2': 0} | no curve
lam=((4, 1, 1), (3, 2, 1), (3, 2, 1)) dir=1 g=4 n1=70 rho low/high=70/70 curves: {'low1': 0, 'low2': 0} | no curve
lam=((4, 1, 1), (3, 2, 1), (3, 2, 1)) dir=2 g=4 n1=64 rho low/high=64/64 curves: {'low1': 0, 'low2': 0} | no curve
lam=((4, 1, 1), (3, 2, 1), (3, 2, 1)) dir=3 g=4 n1=64 rho low/high=64/64 curves: {'low1': 0, 'low2': 0} | no curve
lam=((3, 2, 1), (3, 2, 1), (3, 2, 1)) dir=1 g=5 n1=64 rho low/high=64/64 curves: {'low1': 0, 'low2': 0} | no curve
lam=((3, 2, 1), (3, 2, 1), (3, 2, 1)) dir=2 g=5 n1=64 rho low/high=64/64 curves: {'low1': 0, 'low2': 0} | no curve
lam=((3, 2, 1), (3, 2, 1), (3, 2, 1)) dir=3 g=5 n1=64 rho low/high=64/64 curves: {'low1': 0, 'low2': 0} | no curve
lam=((3, 2, 1), (3, 2, 1), (3, 1, 1, 1)) dir=1 g=4 n1=64 rho low/high=64/64 curves: {'low1': 0, 'low2': 0} | no curve
lam=((3, 2, 1), (3, 2, 1), (3, 1, 1, 1)) dir=2 g=4 n1=64 rho low/high=64/64 curves: {'low1': 0, 'low2': 0} | no curve
lam=((3, 2, 1), (3, 2, 1), (3, 1, 1, 1)) dir=3 g=4 n1=10 rho low/high=10/10 curves: {'low1': 0, 'low2': 0} | no curve
lam=((3, 2, 1), (3, 2, 1), (2, 2, 1, 1)) dir=1 g=3 n1=64 rho low/high=64/64 curves: {'low1': 0, 'low2': 0} | no curve
lam=((3, 2, 1), (3, 2, 1), (2, 2, 1, 1)) dir=2 g=3 n1=64 rho low/high=64/64 curves: {'low1': 0, 'low2': 0} | no curve
lam=((3, 2, 1), (3, 2, 1), (2, 2, 1, 1)) dir=3 g=3 n1=6 rho low/high=6/6 curves: {'low1': 0, 'low2': 0} | no curve
